site,sample,rep,cq,conc,copies,pa_edna
17,03,2,NA,NA,NA,0
17,03,3,41.57145489162848,2.5879620715884197e-5,299705.9173409519,1
17,04,1,NA,NA,NA,0
17,04,2,43.30555855778356,7.804573476034506e-6,90382.96498890042,1
17,04,3,43.45292028666874,7.048692489310615e-6,81629.28165583586,1
17,05,1,NA,NA,NA,0
17,05,2,NA,NA,NA,0
17,05,3,41.03807592398111,3.741861862827732e-5,433336.39023294835,1
18,01,1,NA,NA,NA,0
18,01,2,42.93907504627258,1.0054813874772054e-5,116442.47993872239,1
18,01,3,NA,NA,NA,0
18,02,1,NA,NA,NA,0
18,02,2,NA,NA,NA,0
18,02,3,NA,NA,NA,0
18,03,1,NA,NA,NA,0
18,03,2,NA,NA,NA,0
18,03,3,NA,NA,NA,0
18,04,1,NA,NA,NA,0
18,04,2,NA,NA,NA,0
18,04,3,NA,NA,NA,0
18,05,1,NA,NA,NA,0
18,05,2,NA,NA,NA,0
18,05,3,NA,NA,NA,0
19,01,1,NA,NA,NA,0
19,01,2,NA,NA,NA,0
19,01,3,NA,NA,NA,0
19,02,1,NA,NA,NA,0
19,02,2,NA,NA,NA,0
19,02,3,NA,NA,NA,0
19,03,1,NA,NA,NA,0
19,03,2,NA,NA,NA,0
19,03,3,NA,NA,NA,0
19,04,1,NA,NA,NA,0
19,04,2,NA,NA,NA,0
19,04,3,NA,NA,NA,0
19,05,1,NA,NA,NA,0
19,05,2,NA,NA,NA,0
19,05,3,NA,NA,NA,0
20,01,1,NA,NA,NA,0
20,01,2,NA,NA,NA,0
20,01,3,NA,NA,NA,0
20,02,1,NA,NA,NA,0
20,02,2,NA,NA,NA,0
20,02,3,NA,NA,NA,0
20,03,1,NA,NA,NA,0
20,03,2,NA,NA,NA,0
20,03,3,NA,NA,NA,0
20,04,1,NA,NA,NA,0
20,04,2,NA,NA,NA,0
20,04,3,NA,NA,NA,0
20,05,1,NA,NA,NA,0
20,05,2,47.52624210903704,4.2191500902152476e-7,4886.100387904847,0
20,05,3,42.92176095229047,1.0175881348318359e-5,117844.53442080667,1
21,01,1,41.65655905791067,2.4401028053711483e-5,282582.676816871,1
21,01,2,NA,NA,NA,0
21,01,3,NA,NA,NA,0
21,02,1,NA,NA,NA,0
21,02,2,NA,NA,NA,0
21,02,3,NA,NA,NA,0
21,03,1,36.89210901046782,6.573258126977224e-4,7612338.5983605925,1
21,03,2,36.295891889425064,9.926031768602418e-4,11495108.40759159,1
21,03,3,36.44546025329356,8.95102108915637e-4,10365971.032246485,1
21,04,1,42.12813201436143,1.7613008448697507e-5,203972.1876994468,1
21,04,2,NA,NA,NA,0
21,04,3,NA,NA,NA,0
21,05,1,NA,NA,NA,0
21,05,2,NA,NA,NA,0
21,05,3,43.03654024151078,9.399683970562892e-6,108855.57164999367,1
22,01,1,NA,NA,NA,0
22,01,2,NA,NA,NA,0
22,01,3,NA,NA,NA,0
22,02,1,NA,NA,NA,0
22,02,2,NA,NA,NA,0
22,02,3,NA,NA,NA,0
22,03,1,NA,NA,NA,0
22,03,2,NA,NA,NA,0
22,03,3,NA,NA,NA,0
22,04,1,NA,NA,NA,0
22,04,2,NA,NA,NA,0
22,04,3,NA,NA,NA,0
22,05,1,NA,NA,NA,0
22,05,2,NA,NA,NA,0
22,05,3,NA,NA,NA,0
23,01,1,NA,NA,NA,0
23,01,2,NA,NA,NA,0
23,01,3,NA,NA,NA,0
23,02,1,NA,NA,NA,0
23,02,2,NA,NA,NA,0
23,02,3,42.45611017934604,1.4040050520205186e-5,162594.58617524174,1
23,03,1,NA,NA,NA,0
23,03,2,NA,NA,NA,0
23,03,3,NA,NA,NA,0
23,04,1,41.36360248275932,2.9878507080475477e-5,346016.09782618814,1
23,04,2,NA,NA,NA,0
23,04,3,43.43123431137195,7.155155545412213e-6,82862.20574858607,1
23,05,1,NA,NA,NA,0
23,05,2,NA,NA,NA,0
23,05,3,NA,NA,NA,0
24,01,1,NA,NA,NA,0
24,01,2,NA,NA,NA,0
24,01,3,NA,NA,NA,0
24,02,1,NA,NA,NA,0
24,02,2,NA,NA,NA,0
24,02,3,NA,NA,NA,0
24,03,1,NA,NA,NA,0
24,03,2,NA,NA,NA,0
24,03,3,NA,NA,NA,0
24,04,1,NA,NA,NA,0
24,04,2,NA,NA,NA,0
24,04,3,NA,NA,NA,0
24,05,1,NA,NA,NA,0
24,05,2,NA,NA,NA,0
24,05,3,NA,NA,NA,0
25,01,1,43.73813974548857,5.787361550394003e-6,67022.09902867688,1
25,01,2,NA,NA,NA,0
25,01,3,NA,NA,NA,0
25,02,1,40.673430761520564,4.8146055022258684e-5,557568.3563993447,1
25,02,2,39.913031668108786,8.14415493352493e-5,943155.7951005059,1
25,02,3,41.032924384699086,3.7552109131281014e-5,434882.31295330997,1
25,03,1,NA,NA,NA,0
25,03,2,NA,NA,NA,0
25,03,3,NA,NA,NA,0
25,04,1,NA,NA,NA,0
25,04,2,NA,NA,NA,0
25,04,3,NA,NA,NA,0
25,05,1,40.163861643429954,6.847663514343954e-5,793012.114721212,1
25,05,2,40.17867647217216,6.777893439460204e-5,784932.2033015108,1
25,05,3,40.277427936099514,6.33064255093149e-5,733137.1096640751,1
26,01,1,NA,NA,NA,0
26,01,2,NA,NA,NA,0
26,01,3,NA,NA,NA,0
26,02,1,NA,NA,NA,0
26,02,2,NA,NA,NA,0
26,02,3,NA,NA,NA,0
26,03,1,43.49118627567239,6.864682167329607e-6,79498.300566315,1
26,03,2,41.766772551690906,2.2611015881965513e-5,261852.9587937888,1
26,03,3,41.532754704173044,2.6581310656212314e-5,307832.02666703955,1
26,04,1,NA,NA,NA,0
26,04,2,NA,NA,NA,0
26,04,3,NA,NA,NA,0
26,05,1,NA,NA,NA,0
26,05,2,NA,NA,NA,0
26,05,3,NA,NA,NA,0
27,01,1,41.25138816730054,3.2288481797463795e-5,373925.45906656235,1
27,01,2,40.90047185183633,4.11527572353826e-5,476580.5880133993,1
27,01,3,NA,NA,NA,0
27,02,1,39.59280096085445,1.0162135361060417e-4,1176853.4531343423,1
27,02,2,39.19981234568989,1.3334205399216382e-4,1544203.5666048136,1
27,02,3,40.09629954670753,7.175063573785732e-5,830927.5603259671,1
27,03,1,41.48467889027009,2.7479549249832894e-5,318234.32060509827,1
27,03,2,NA,NA,NA,0
27,03,3,42.05554077552939,1.851939194381894e-5,214468.80586283962,1
27,04,1,NA,NA,NA,0
27,04,2,NA,NA,NA,0
27,04,3,NA,NA,NA,0
27,05,1,41.55296831830401,2.621246749645962e-5,303560.5391223721,1
27,05,2,42.0280733209663,1.8874390717305134e-5,218579.96476391618,1
27,05,3,42.56342521768302,1.3036193228255404e-5,150969.14645701,1
28,01,1,43.468148470237054,6.9748808469374165e-6,80774.48605311965,1
28,01,2,NA,NA,NA,0
28,01,3,42.65245657944946,1.2258067044588878e-5,141957.84662989728,1
28,02,1,40.64484713269303,4.9106843696158165e-5,568695.0283874355,1
28,02,2,39.52247539238559,1.0668367329006835e-4,1235479.0095156902,1
28,02,3,39.846533908897044,8.527266497605391e-5,987523.061536597,1
28,03,1,40.82503084694645,4.335584634144883e-5,502094.0547201264,1
28,03,2,39.20783795279475,1.326043316110193e-4,1535660.173893955,1
28,03,3,42.34286744887078,1.5183299204589302e-5,175834.2854530552,1
28,04,1,41.10126752348319,3.5819251780171775e-5,414814.49172297615,1
28,04,2,NA,NA,NA,0
28,04,3,41.47203587683231,2.7720768240963292e-5,321027.8220945704,1
28,05,1,43.24713734834721,8.126214069166361e-6,94107.81049869201,1
28,05,2,NA,NA,NA,0
28,05,3,44.02573945867977,4.743927797259696e-6,54938.333443360985,1
29,01,1,40.193020659763285,6.711017273969435e-5,777187.4288526509,1
29,01,2,40.23583682164839,6.515296493884712e-5,754521.4568193068,1
29,01,3,39.846739337704435,8.526055641805977e-5,987382.8351197902,1
29,02,1,38.092771637498146,2.866292003520335e-4,3319386.646786671,1
29,02,2,37.43322966658573,4.52195931933569e-4,5236776.770643125,1
29,02,3,37.61510541809038,3.987716898406527e-4,4618082.94740347,1
29,03,1,39.447005633985015,1.1239715621956222e-4,1301645.5372787816,1
29,03,2,39.18050630528707,1.3513354100562423e-4,1564950.3644295596,1
29,03,3,41.02200106556228,3.7836739842057445e-5,438178.55555335304,1
29,04,1,34.45729016803729,0.0035379897253586456,40972642.830528736,1
29,04,2,34.3847401337233,0.0037199523488502173,43079909.99622701,1
29,04,3,33.907863419123586,0.005172544552209884,59902045.20483992,1
29,05,1,39.8889832580578,8.280675901257948e-5,958965.9734334464,1
29,05,2,NA,NA,NA,0
29,05,3,39.60795698829966,1.0056222336068049e-4,1164587.9100407336,1
30,01,1,NA,NA,NA,0
30,01,2,NA,NA,NA,0
30,01,3,NA,NA,NA,0
30,02,1,NA,NA,NA,0
30,02,2,NA,NA,NA,0
30,02,3,NA,NA,NA,0
30,03,1,NA,NA,NA,0
30,03,2,NA,NA,NA,0
30,03,3,NA,NA,NA,0
30,04,1,NA,NA,NA,0
30,04,2,NA,NA,NA,0
30,04,3,NA,NA,NA,0
30,05,1,NA,NA,NA,0
30,05,2,NA,NA,NA,0
30,05,3,NA,NA,NA,0
31,01,1,NA,NA,NA,0
31,01,2,NA,NA,NA,0
31,01,3,NA,NA,NA,0
31,02,1,NA,NA,NA,0
31,02,2,NA,NA,NA,0
31,02,3,NA,NA,NA,0
31,03,1,NA,NA,NA,0
31,03,2,NA,NA,NA,0
31,03,3,NA,NA,NA,0
31,04,1,NA,NA,NA,0
31,04,2,NA,NA,NA,0
31,04,3,NA,NA,NA,0
31,05,1,NA,NA,NA,0
31,05,2,NA,NA,NA,0
31,05,3,NA,NA,NA,0
32,01,1,NA,NA,NA,0
32,01,2,NA,NA,NA,0
32,01,3,NA,NA,NA,0
32,02,1,NA,NA,NA,0
32,02,2,NA,NA,NA,0
32,02,3,NA,NA,NA,0
32,03,1,NA,NA,NA,0
32,03,2,NA,NA,NA,0
32,03,3,NA,NA,NA,0
32,04,1,NA,NA,NA,0
32,04,2,NA,NA,NA,0
32,04,3,NA,NA,NA,0
32,05,1,NA,NA,NA,0
32,05,2,NA,NA,NA,0
32,05,3,NA,NA,NA,0
33,01,1,NA,NA,NA,0
33,01,2,NA,NA,NA,0
33,01,3,NA,NA,NA,0
33,02,1,NA,NA,NA,0
33,02,2,NA,NA,NA,0
33,02,3,NA,NA,NA,0
33,03,1,NA,NA,NA,0
33,03,2,NA,NA,NA,0
33,03,3,NA,NA,NA,0
33,04,1,NA,NA,NA,0
33,04,2,NA,NA,NA,0
33,04,3,NA,NA,NA,0
33,05,1,NA,NA,NA,0
33,05,2,NA,NA,NA,0
33,05,3,NA,NA,NA,0
34,01,1,NA,NA,NA,0
34,01,2,NA,NA,NA,0
34,01,3,NA,NA,NA,0
34,02,1,NA,NA,NA,0
34,02,2,NA,NA,NA,0
34,02,3,NA,NA,NA,0
34,03,1,NA,NA,NA,0
34,03,2,NA,NA,NA,0
34,03,3,NA,NA,NA,0
34,04,1,NA,NA,NA,0
34,04,2,NA,NA,NA,0
34,04,3,NA,NA,NA,0
34,05,1,NA,NA,NA,0
34,05,2,NA,NA,NA,0
34,05,3,NA,NA,NA,0
35,01,1,NA,NA,NA,0
35,01,2,NA,NA,NA,0
35,01,3,NA,NA,NA,0
35,02,1,NA,NA,NA,0
35,02,2,NA,NA,NA,0
35,02,3,NA,NA,NA,0
35,03,1,NA,NA,NA,0
35,03,2,NA,NA,NA,0
35,03,3,NA,NA,NA,0
35,04,1,NA,NA,NA,0
35,04,2,NA,NA,NA,0
35,04,3,NA,NA,NA,0
35,05,1,NA,NA,NA,0
35,05,2,NA,NA,NA,0
35,05,3,NA,NA,NA,0
